movie_id,actor_id
1,3165
1,644
1,1753
1,3768
2,4666
2,4094
2,1560
2,3489
3,2739
3,247
3,4606
3,4870
4,2493
4,3623
4,38
4,4194
5,4292
5,3120
5,3955
5,3271
6,573
6,3449
6,1559
6,1880
7,3205
7,3185
7,4035
7,2835
8,854
8,3477
8,1572
8,3961
9,509
9,573
9,3061
9,802
10,854
10,1572
10,1258
10,4285
11,2474
11,4029
11,2635
11,1880
12,1300
12,1294
12,440
12,335
13,1946
13,1658
13,247
13,3823
14,1417
14,2567
14,166
14,1735
15,1753
15,4186
15,4301
15,1298
16,1753
16,2599
16,3698
16,4133
17,1753
17,2621
17,2472
17,148
18,2170
18,3677
18,914
18,2209
19,1753
19,4296
19,1086
19,118
20,1268
20,2531
20,2325
20,2962
21,2028
21,2856
21,397
21,309
22,573
22,469
22,392
22,2973
23,1268
23,2531
23,2325
23,2594
24,2136
24,562
24,1051
24,812
25,4181
25,2287
25,872
25,3604
26,4029
26,2290
26,74
26,1773
27,3350
27,798
27,2846
27,905
28,294
28,623
28,1353
28,453
29,50
29,4471
29,3414
29,3217
30,2551
30,3959
30,2084
30,3859
31,2136
31,2362
31,4454
31,2558
32,2724
32,4296
32,4029
32,185
33,1270
33,2864
33,3597
33,4145
34,460
34,163
34,754
34,4448
35,389
35,1796
35,1028
35,1241
36,2909
36,293
36,2446
36,3020
37,1372
37,4427
37,2658
37,2128
38,3552
38,1268
38,248
38,1495
39,4929
39,2887
39,1612
39,1997
40,4929
40,2887
40,1057
40,1997
41,4929
41,2887
41,1057
41,1997
42,1589
42,509
42,3245
42,185
43,2449
43,4941
43,1138
43,53
44,324
44,1608
44,3660
44,584
45,3350
45,798
46,4929
46,2887
46,1057
46,1997
47,2735
47,971
47,1550
47,4175
48,4929
48,2887
48,1057
48,1997
49,4929
49,2887
49,1057
49,1997
50,2136
50,4093
50,3307
50,143
51,2979
51,1469
51,4518
51,2136
52,384
52,1516
52,775
52,2183
53,3637
53,4241
53,4029
53,3356
54,3079
54,3673
54,31
54,3321
55,3676
55,2467
55,528
55,2845
56,3456
56,2659
56,1824
56,711
57,3293
57,665
57,4398
57,3674
58,635
58,1930
58,4071
58,1457
59,3676
59,2467
59,528
59,2845
60,3676
60,2467
60,528
60,2845
61,1773
61,4029
61,1038
61,155
62,4093
62,1417
62,4069
62,1546
63,651
63,2504
63,2108
63,3888
64,651
64,1430
64,2015
64,2225
65,294
65,3323
65,2936
65,3728
66,2569
66,1995
66,3888
66,3943
67,1995
67,3513
67,4212
67,207
68,2839
68,2263
68,1610
68,2536
69,1833
69,748
69,3795
69,525
70,3246
70,3861
70,597
70,3677
71,3246
71,3426
71,1132
71,1100
72,2701
72,2355
72,2599
72,4697
73,4010
73,4875
73,882
73,2208
74,4696
74,455
74,3846
74,4397
75,3185
75,50
75,1987
75,3983
76,3146
76,2297
76,4700
76,1940
77,50
77,4035
77,1129
77,4029
78,4948
78,2578
78,4679
78,4105
79,50
79,1129
79,185
79,4537
80,1453
80,4018
80,563
80,1499
81,4451
81,863
81,4805
81,2102
82,431
82,1659
82,1842
82,3774
83,2640
83,3340
83,969
83,3135
84,3677
84,1085
84,4874
84,4702
85,4113
85,4955
85,2063
85,852
86,363
86,399
86,2036
86,1761
87,4032
87,3060
87,3029
87,1669
88,1336
88,3717
88,587
88,2536
89,1732
89,1636
89,783
89,1742
90,3356
90,1946
90,2749
90,3346
91,2290
91,267
91,265
91,4285
92,4903
92,1476
92,4454
92,3797
93,4625
93,3477
93,487
93,4927
94,1441
94,4669
94,1328
94,4169
95,294
95,2936
95,1294
95,4059
96,3860
96,190
96,4679
96,2578
97,1940
97,4350
97,1515
97,3882
98,2724
98,4503
98,4625
98,4722
99,1552
99,1678
99,4604
99,2979
100,1866
100,1899
100,3702
100,831
101,2437
101,2362
101,2543
101,3361
102,1802
102,3656
102,321
103,509
103,267
103,817
103,2152
104,2440
104,1061
104,4000
104,4844
105,1899
105,651
105,831
105,2895
106,1268
106,2531
106,1790
106,556
107,4029
107,2031
107,1332
107,4733
108,4736
108,1724
108,3726
108,1093
109,775
109,3655
109,3378
109,556
110,4225
110,2826
110,2144
110,3924
111,2144
111,2558
111,3756
111,3924
112,2558
112,4903
112,2333
112,4659
113,1813
113,835
113,2098
113,691
114,4941
114,1567
114,2969
114,68
115,4189
115,582
115,4827
115,916
116,4659
116,3564
116,3063
116,1961
117,4680
117,4363
117,4781
117,1760
118,3356
118,969
118,3414
118,805
119,4036
119,1785
119,2449
119,4136
120,3560
120,1837
120,4722
120,2362
121,1534
121,3093
121,2437
121,2460
122,1238
122,4659
122,4756
122,1622
123,651
123,1678
123,548
123,2225
124,1336
124,3936
124,4256
124,1611
125,3288
125,2728
125,4633
125,2118
126,185
126,798
126,4902
126,462
127,3340
127,4325
127,1592
127,2133
128,3477
128,2223
128,934
128,3685
129,3956
129,4381
129,2054
129,2485
130,3860
130,2577
130,4888
130,2787
131,4753
131,4691
131,2236
131,3564
132,2915
132,399
132,3860
132,637
133,2028
133,2756
133,340
133,4667
134,1317
134,854
134,2857
134,81
135,1988
135,1843
135,3642
135,289
136,2561
136,1147
136,2602
136,3251
137,3560
137,1321
137,2557
137,3970
138,2892
138,816
138,2384
138,1748
139,2053
139,1200
139,692
139,4172
140,4010
140,2664
140,2023
140,4924
141,2394
141,1415
141,3953
141,676
142,4856
142,1454
142,3351
142,1577
143,3246
143,2681
143,2013
143,1784
144,3560
144,2826
144,4888
144,1926
145,1866
145,2631
145,4054
145,3764
146,4093
146,3245
146,392
146,4427
147,2346
147,608
147,3223
147,3622
148,4666
148,3334
148,501
148,1035
149,4626
149,3363
149,768
149,4454
150,1813
150,4849
150,1529
150,2821
151,4642
151,4296
151,1127
151,3198
152,1387
152,2567
152,2127
152,4534
153,2551
153,1856
153,3974
153,3918
154,1946
154,3022
154,4922
154,3322
155,958
155,4942
155,182
155,2597
156,1678
156,3881
156,4028
156,2442
157,2449
157,3200
157,4264
157,3655
158,4029
158,4325
158,2303
158,2031
159,934
159,2328
159,1986
159,599
160,3250
160,4186
160,3414
160,2880
161,3906
161,4569
161,3083
161,2553
162,2159
162,3368
162,2925
162,2800
163,270
163,2069
163,4775
163,2358
164,258
164,4258
164,2391
164,1193
165,608
165,401
165,3246
165,2850
166,4065
166,2787
166,4225
166,4280
167,2153
167,3397
167,402
167,1003
168,509
168,1300
168,1806
168,3285
169,1572
169,631
169,1396
169,4426
170,2257
170,3379
170,242
170,351
171,573
171,69
171,3905
171,500
172,655
172,1151
172,1092
172,1975
173,523
173,3854
173,2365
173,295
174,4577
174,2492
174,3059
174,1820
175,1678
175,2028
175,4863
175,4591
176,4666
176,463
176,2720
176,1560
177,636
177,4209
177,1508
177,4095
178,4101
178,4642
178,2223
178,4516
179,2456
179,87
179,370
179,468
180,2028
180,1211
180,518
180,414
181,1396
181,4907
181,4067
181,1277
182,3564
182,3246
182,2287
182,653
183,4172
183,4070
183,3950
183,2998
184,4172
184,2998
184,3486
184,2497
185,2724
185,3225
185,1681
185,4104
186,1238
186,4029
186,239
186,1088
187,1572
187,2341
187,1522
187,814
188,1693
188,3213
188,3814
188,4035
189,1813
189,2052
189,2336
189,716
190,2629
190,2892
190,1475
190,478
191,4907
191,1666
191,1389
191,3503
192,3255
192,11
192,4807
192,3840
193,1819
193,1079
193,4051
193,1232
194,4887
194,464
194,2144
194,3225
195,2664
195,2835
195,647
195,1864
196,3313
196,4065
196,2777
196,3357
197,4691
197,4887
197,2935
197,4807
198,901
198,2254
198,383
198,1168
199,3246
199,2720
199,1092
199,3536
200,4873
200,2724
200,3410
200,3864
201,460
201,934
201,1749
201,3996
202,2436
202,3609
202,4481
202,2141
203,2449
203,1491
203,2870
203,1378
204,2342
204,2039
204,2728
204,3373
205,3777
205,1100
205,278
205,3805
206,4231
206,1723
206,2397
206,2557
207,1439
207,1440
207,2480
207,2730
208,4433
208,1534
208,402
208,2737
209,2544
209,1496
209,3878
209,420
210,4907
210,1189
210,3630
210,4073
211,3426
211,4029
211,2960
211,725
212,4035
212,1199
212,1185
212,3071
213,3655
213,2424
213,3005
213,4022
214,3288
214,473
214,644
214,574
215,3717
215,4065
215,2633
215,4483
216,4296
216,4751
216,2503
216,1941
217,2835
217,907
217,1884
217,3481
218,1200
218,1350
218,4680
218,4219
219,3185
219,2853
219,2610
219,1430
220,1760
220,3507
220,1062
220,1867
221,4296
221,964
221,3001
221,4070
222,4296
222,1840
222,1630
222,4348
223,4296
223,839
223,24
223,3028
224,1799
224,463
224,650
224,2034
225,726
225,4434
225,1935
225,1777
226,4296
226,44
226,2606
226,3427
227,1599
227,1125
227,4568
227,1537
228,4052
228,2055
228,2769
228,3917
229,4363
229,645
229,3323
229,2813
230,2436
230,4241
230,4748
230,573
231,4296
231,2230
231,698
231,2810
232,4113
232,797
232,553
232,3259
233,2290
233,1035
233,3254
233,2031
234,4503
234,4300
234,4063
234,3886
235,3313
235,854
235,251
235,4794
236,4113
236,338
236,908
236,3968
237,1946
237,4339
237,974
237,4281
238,2558
238,163
238,4625
238,1940
239,4947
239,1129
239,3367
239,3139
240,4113
240,2982
240,3362
240,885
241,4113
241,633
241,4711
241,3049
242,4113
242,3259
242,3015
242,2789
243,4829
243,3185
243,2754
243,2610
244,4947
244,1129
244,4708
244,630
245,2385
245,3712
245,1596
245,4004
246,431
246,233
246,1610
246,677
247,4113
247,805
247,4548
247,1677
248,4632
248,3238
248,2197
248,2296
249,3823
249,4292
249,1922
249,1447
250,1856
250,163
250,2002
250,4365
251,1837
251,1773
251,4225
251,226
252,3823
252,2474
252,3419
252,4579
253,294
253,2039
253,4648
253,463
254,903
254,1040
254,2715
254,3080
255,2236
255,2828
255,3577
256,4616
256,4503
256,365
256,3978
257,74
257,4325
257,163
257,2136
258,3823
258,4398
258,4024
258,1092
259,954
259,1427
259,3066
259,2533
260,3340
260,4035
260,349
260,4733
261,4659
261,2133
261,1572
261,1258
262,232
262,1238
262,2633
262,4894
263,1704
263,740
263,1751
263,2775
264,4872
264,4438
264,2780
264,3495
265,705
265,4742
265,3184
265,1356
266,4296
266,2777
266,3276
266,342
267,4659
267,2682
267,4753
267,261
268,573
268,1726
268,4696
268,3610
269,2390
269,3793
269,2259
269,1095
270,3110
270,307
270,3485
270,2022
271,3110
271,4482
271,4054
271,1468
272,1567
272,2398
272,3046
272,4313
273,2436
273,3560
273,2256
273,1171
274,1589
274,3839
274,1773
274,2578
275,3110
275,4124
275,583
275,171
276,3110
276,2955
276,583
276,4915
277,3146
277,2062
277,1352
277,693
278,1680
279,564
279,1347
279,3944
279,427
280,564
280,4262
280,937
280,2616
281,564
281,1360
281,3097
281,1875
282,4029
282,3879
282,2303
282,2997
283,4829
283,822
283,3612
283,4604
284,3058
284,2303
284,962
284,2367
285,3058
285,2303
285,666
285,962
286,1417
286,2530
286,1676
286,4748
287,399
287,4115
287,615
287,4159
288,4093
288,4214
288,3823
288,1772
289,30
289,2039
289,2069
289,2370
290,720
290,4888
290,1469
290,2725
291,1913
291,2798
291,1100
291,2826
292,1693
292,2856
292,1051
292,468
293,3560
293,3288
293,164
293,1097
294,4265
294,4199
294,3896
294,4307
295,4093
295,1469
295,4734
295,743
296,2015
296,4489
296,4341
296,3796
297,1693
297,324
297,1262
297,1770
298,3314
298,2338
298,4189
298,4355
299,509
299,3477
299,1715
299,3840
300,566
300,848
300,4128
300,2216
301,2598
301,2979
301,3781
301,2568
302,1036
302,2181
302,1703
302,2445
303,1330
303,3400
303,3452
303,4311
304,3437
304,1784
305,2720
305,472
305,4029
305,509
306,2724
306,4691
306,1559
306,2720
307,4402
307,589
307,3991
307,3184
308,3564
308,1439
308,3982
308,2234
309,1107
309,283
309,3657
309,1567
310,4907
310,1935
310,86
310,4310
311,4374
311,4836
311,3715
311,714
312,3381
312,3660
312,1860
312,4224
313,1946
313,1454
313,2374
313,3753
314,4850
314,236
314,2906
314,4859
315,2145
315,1446
315,3915
315,2811
316,3786
316,1348
316,1897
316,3631
317,2031
317,4391
317,1066
317,3772
318,1110
318,1264
318,1570
318,4620
319,3950
319,1509
319,4578
319,3300
320,1480
320,2891
320,507
320,2519
321,1449
321,4193
321,4080
321,2877
322,1010
322,1644
322,3200
322,3460
323,4860
323,4753
323,2284
323,2116
324,3787
324,601
324,3863
324,2364
325,2693
325,3052
325,1480
325,137
326,678
326,4720
326,4419
326,2524
327,2236
327,608
327,3499
327,4614
328,491
328,798
328,2278
328,697
329,4666
329,4679
329,1289
329,374
330,4666
330,3288
330,464
330,4162
331,1658
331,2397
331,3414
331,4519
332,3250
332,923
332,2444
332,134
333,294
333,4325
333,3851
333,4137
334,4666
334,4613
334,1186
334,2407
335,4666
335,4613
335,2262
335,2686
336,2885
336,1223
336,3875
336,3081
337,294
337,3121
337,4955
337,2235
338,2449
338,2629
338,2565
338,1238
339,4325
339,4890
339,4651
339,3829
340,3177
340,4626
340,1806
340,3334
341,3430
341,1831
341,4556
341,742
342,1573
342,1198
342,1063
342,2113
343,4874
343,3100
343,971
343,46
344,3723
344,4868
344,2880
344,4070
345,3184
345,856
345,224
345,4854
346,4093
346,1238
346,2551
346,491
347,4659
347,1946
347,1085
347,2720
348,2026
348,1067
348,1837
348,1318
349,4466
349,1295
349,217
349,2610
350,1528
350,3492
350,943
350,4577
351,2362
351,1333
351,3996
351,4160
352,1238
352,4065
352,1951
352,3195
353,589
353,2610
353,4591
353,3537
354,2631
354,651
354,3283
354,4822
355,3717
355,1598
355,3039
355,3479
356,2544
356,3109
356,3211
356,3030
357,1866
357,2831
357,2422
357,3193
358,4837
358,880
358,4749
358,1435
359,4466
359,1454
359,3692
359,1954
360,717
360,3733
360,1947
361,4466
361,4078
361,1963
361,1181
362,2749
362,573
362,2380
362,4894
363,2449
363,1554
363,905
363,2813
364,1011
364,2690
364,4287
364,1564
365,3627
365,967
365,1635
365,3953
366,4613
366,69
366,4709
366,4228
367,1850
367,2392
367,2745
367,1187
368,4975
368,3818
368,2361
368,4063
369,3250
369,2118
369,3127
369,1730
370,2565
370,1200
370,1832
370,844
371,3796
371,1037
371,4079
371,618
372,49
372,3282
372,4854
372,1424
373,3107
373,3379
373,3709
373,930
374,3293
374,971
374,1550
374,3461
375,3293
375,971
375,2303
375,2518
376,3293
376,971
376,2303
376,3909
377,3293
377,971
377,2303
377,3909
378,2263
378,3015
378,3067
378,3092
379,3793
379,86
379,272
379,1935
380,1199
380,2039
380,3502
380,3635
381,50
381,4029
381,4753
381,2463
382,294
382,3742
382,3641
383,4659
383,2463
383,1377
383,1811
384,3291
384,3996
384,464
385,593
385,3151
385,1654
385,2239
386,1866
386,3786
386,3211
386,1652
387,2986
387,3229
387,3590
387,1638
388,2492
388,1161
388,233
388,4621
389,4962
389,1317
389,4466
389,691
390,2769
390,2839
390,2121
390,705
391,50
391,2341
391,696
391,770
392,2769
392,3862
392,25
392,1601
393,589
393,4700
393,4497
393,3203
394,509
394,2042
394,1048
394,337
395,1813
395,943
395,3214
395,272
396,651
396,2631
396,2028
396,4190
397,1502
397,2836
397,2069
397,194
398,4296
398,3328
398,802
398,4207
399,854
399,179
399,2438
399,3910
400,1940
400,4849
400,4503
400,4808
401,2053
401,1940
401,3340
401,4283
402,2028
402,4082
402,1496
402,4071
403,3717
403,1958
403,3825
403,1587
404,1003
404,4005
404,616
404,4706
405,2839
405,3328
405,84
405,2399
406,1238
406,4496
406,3799
406,4531
407,1515
407,356
407,1296
407,3830
408,3297
408,2629
408,4268
408,4370
409,2290
409,3959
409,464
409,1999
410,1572
410,4172
410,1458
410,4704
411,1021
411,4770
411,4266
411,2340
412,3959
412,4763
412,301
412,2413
413,2136
413,4625
413,2262
413,1841
414,3677
414,2664
414,1550
414,2994
415,892
415,292
415,1701
415,4807
416,2796
416,4877
416,4530
416,1006
417,2492
417,115
417,3623
417,4720
418,2796
418,2857
418,1396
418,1199
419,232
419,4790
419,1896
419,178
420,3245
420,1715
420,2530
420,658
421,267
421,1376
421,2003
421,803
422,2436
422,2006
422,4221
422,2079
423,755
423,811
423,4148
423,3419
424,4164
424,3787
424,2406
424,3641
425,472
425,4948
425,3655
425,3748
426,4523
426,4537
426,591
426,623
427,4523
427,4537
427,591
427,623
428,4523
428,3941
428,534
428,458
429,4523
429,3941
429,3089
429,2797
430,4523
430,4537
430,591
430,623
431,4523
431,4537
431,591
431,623
432,4523
432,4537
432,591
432,4210
433,651
433,4396
433,3191
433,1763
434,775
434,4703
434,4413
434,4107
435,1589
435,2173
435,3356
435,4241
436,2007
436,4358
436,443
436,1110
437,473
437,962
437,574
437,3663
438,1565
438,3255
438,1491
438,3272
439,540
439,602
439,1231
439,941
440,3452
440,3665
440,1010
440,992
441,163
441,3780
441,2026
441,2830
442,2188
442,2390
442,357
442,1883
443,2290
443,749
443,2950
443,4663
444,2771
444,2031
444,2640
444,2509
445,726
445,2069
445,3623
445,2489
446,3782
446,18
446,3722
446,1274
447,3328
447,1879
447,553
447,2412
448,1719
448,291
448,4363
448,2989
449,2538
449,1318
449,2513
449,3408
450,2157
450,4447
450,1148
450,4123
451,2096
451,882
451,1138
451,883
452,2747
452,2551
452,2720
452,4890
453,4465
453,1138
453,2664
453,2287
454,4683
454,2394
454,4084
454,3566
455,573
455,2188
455,4241
455,1681
456,4029
456,2303
456,670
456,1503
457,2028
457,2347
457,4379
457,876
458,2028
458,1204
458,2954
458,1820
459,2449
459,2892
459,2578
459,988
